27473;# doc = ras_serb.2.txt;;;;;;;;;;;;;;;;
27474;# speaker = Суф;;;;;;;;;;;;;;;;
27475;# sent = 2007;;;;;;;;;;;;;;;;
28215;;Гоп;ГОП;INTJ;;;Такие : « _Гоп_ ! » ;п;о;г;;;;INTJ;ГОП;INTJ;П
28216;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
28217;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
28218;;;;;;;;;;;;;;;;;
28219;# sent = 2064;;;;;;;;;;;;;;;;
28220;;И;И;CONJ;;;»   _И_ каждый кланяется ,;и;;;;;;CONJ;И;CONJ;И
28221;;каждый;КАЖДЫЙ;APRO - nom sg plen m -;;;  И _каждый_ кланяется , причем;й;ы;д;ж;а;к;APRO;КАЖДЫЙ;A - nom sg plen m -;Й
28222;;кланяется;КЛАНЯТЬСЯ;V ipf praes sg indic - 3p;;; И каждый _кланяется_ , причем по-своему;я;с;т;е;я;н;V;КЛАНЯТЬСЯ;V ipf praes sg indic - 3p;Я
28223;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28224;;причем;ПРИЧЕМ;CONJ;;;каждый кланяется , _причем_ по-своему , рассинхронно;м;е;ч;и;р;п;CONJ;ПРИЧЕМ;CONJ;М
28225;;по-своему;ПО-СВОЕМУ;ADV -;;;кланяется , причем _по-своему_ , рассинхронно .;у;м;е;о;в;с;ADV;ПО-СВОЕМУ;ADV -;У
28226;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28227;;рассинхронно;РАССИНХРОННО;ADV -;;;причем по-своему , _рассинхронно_ .  ;о;н;н;о;р;х;ADV;РАССИНХРОННО;ADV -;О
28228;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28229;;;;;;;;;;;;;;;;;
28230;# sent = 2065;;;;;;;;;;;;;;;;
28231;;Они;ОНИ;SPRO pl - - nom;;;.   _Они_ поклонились и ушли;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28232;;поклонились;ПОКЛОНИТЬСЯ;V pf praet pl indic - -;;;  Они _поклонились_ и ушли .;ь;с;и;л;и;н;V;ПОКЛОНИТЬСЯ;V pf praet pl indic - -;Я
28233;;и;И;CONJ;;; Они поклонились _и_ ушли . ;и;;;;;;CONJ;И;CONJ;И
28234;;ушли;УСЛАТЬ;V pf - sg imper - 2p;;;Они поклонились и _ушли_ .  ;и;л;ш;у;;;V;УСЛАТЬ;V pf - sg imper - 2p;Ь
28235;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28236;;;;;;;;;;;;;;;;;
28237;# sent = 2066;;;;;;;;;;;;;;;;
28238;;И;И;CONJ;;;.   _И_ я такой …;и;;;;;;CONJ;И;CONJ;И
28239;;я;Я;SPRO sg 1p - nom;;;  И _я_ такой … ;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
28240;;такой;ТАКОЙ;APRO - nom sg plen m -;;; И я _такой_ …  ;й;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen m -;Й
28241;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28242;;;;;;;;;;;;;;;;;
28243;# sent = 2067;;;;;;;;;;;;;;;;
28244;# speaker = Суф;;;;;;;;;;;;;;;;
28245;# sent = 2068;;;;;;;;;;;;;;;;
28246;;Даже;ДАЖЕ;PART;;;   _Даже_ здесь налажать умудрились;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
28247;;здесь;ЗДЕСЬ;ADVPRO;;;  Даже _здесь_ налажать умудрились ?;ь;с;е;д;з;;ADV;ЗДЕСЬ;ADV -;Ь
28248;;налажать;НАЛАЖАТЬ;V ipf - - inf - -;;; Даже здесь _налажать_ умудрились ? ;ь;т;а;ж;а;л;V;НАЛАЖАТЬ;V ipf - - inf - -;Ь
28249;;умудрились;УМУДРИТЬСЯ;V pf praet pl indic - -;;;Даже здесь налажать _умудрились_ ?  ;ь;с;и;л;и;р;V;УМУДРИТЬСЯ;V pf praet pl indic - -;Я
28250;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
28251;;;;;;;;;;;;;;;;;
28252;# sent = 2069;;;;;;;;;;;;;;;;
28253;;Типа;ТИПА;PART;;;?   _Типа_ ну я понимаю;а;п;и;т;;;PART;ТИПА;PART;А
28254;;ну;НУ;PART;;;  Типа _ну_ я понимаю ,;у;н;;;;;PART;НУ;PART;У
28255;;я;Я;SPRO sg 1p - nom;;; Типа ну _я_ понимаю , но;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
28256;;понимаю;ПОНИМАТЬ;V ipf praes sg indic - 1p;;;Типа ну я _понимаю_ , но …;ю;а;м;и;н;о;V;ПОНИМАТЬ;V ipf praes sg indic - 1p;Ь
28257;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28258;;но;НО;CONJ;;;я понимаю , _но_ … вы серьезно;о;н;;;;;CONJ;НО;CONJ;О
28259;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28260;;вы;ВЫ;SPRO pl 2p - nom;;;, но … _вы_ серьезно ? ;ы;в;;;;;SPRO;ВЫ;SPRO pl 2p - nom;Ы
28261;;серьезно;СЕРЬЕЗНО;ADV -;;;но … вы _серьезно_ ?  ;о;н;з;е;ь;р;ADV;СЕРЬЕЗНО;ADV -;О
28262;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
28263;;;;;;;;;;;;;;;;;
28264;# sent = 2070;;;;;;;;;;;;;;;;
28265;;Там;ТАМ;PART;;;?   _Там_ даже какие-нибудь ,;м;а;т;;;;ADV;ТАМ;ADV -;М
28266;;даже;ДАЖЕ;PART;;;  Там _даже_ какие-нибудь , ну;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
28267;;какие-нибудь;КАКОЙ-НИБУДЬ;APRO - acc pl plen - inan;;; Там даже _какие-нибудь_ , ну ,;ь;д;у;б;и;н;APRO;КАКОЙ-НИБУДЬ;A - acc pl plen - inan;Ь
28268;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28269;;ну;НУ;PART;;;даже какие-нибудь , _ну_ , я не;у;н;;;;;PART;НУ;PART;У
28270;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28271;;я;Я;SPRO sg 1p - nom;;;, ну , _я_ не знаю …;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
28272;;не;НЕ;PART;;;ну , я _не_ знаю … ;е;н;;;;;PART;НЕ;PART;Е
28273;;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;, я не _знаю_ …  ;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p;Ь
28274;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28275;;;;;;;;;;;;;;;;;
28276;# sent = 2071;;;;;;;;;;;;;;;;
28277;;Индусы;ИНДУС;S m anim nom pl;;;…   _Индусы_ , что ли;ы;с;у;д;н;и;S;ИНДУС;S m anim nom pl;С
28278;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28279;;что;ЧТО;CONJ;;; Индусы , _что_ ли , были;о;т;ч;;;;CONJ;ЧТО;CONJ;О
28280;;ли;ЛИ;PART;;;Индусы , что _ли_ , были .;и;л;;;;;PART;ЛИ;PART;И
28281;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28282;;были;БЫТЬ;V ipf praet pl indic - -;;;что ли , _были_ .  ;и;л;ы;б;;;V;БЫТЬ;V ipf praet pl indic - -;Ь
28283;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28284;;;;;;;;;;;;;;;;;
28285;# sent = 2072;;;;;;;;;;;;;;;;
28286;;Они;ОНИ;SPRO pl - - nom;;;.   _Они_ просто шли хороводом;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28287;;просто;ПРОСТО;PART;;;  Они _просто_ шли хороводом и;о;т;с;о;р;п;PART;ПРОСТО;PART;О
28288;;шли;ИДТИ;V ipf praet pl indic - -;;; Они просто _шли_ хороводом и такие;и;л;ш;;;;V;ИДТИ;V ipf praet pl indic - -;И
28289;;хороводом;ХОРОВОД;S m inan ins sg;;;Они просто шли _хороводом_ и такие ;м;о;д;о;в;о;S;ХОРОВОД;S m inan ins sg;Д
28290;;и;И;CONJ;;;просто шли хороводом _и_ такие  щёлкает пальцами;и;;;;;;CONJ;И;CONJ;И
28291;;такие;ТАКОЙ;APRO - nom pl plen - anim;;;шли хороводом и _такие_  щёлкает пальцами ;е;и;к;а;т;;APRO;ТАКОЙ;A - acc pl plen - inan;Й
28292;"<span class=""note"">";;;;;;;;;;;;;;;;
28293;<note>;щёлкает пальцами;;;;;;;;;;;;;;;
28294;</span>;;;;;;;;;;;;;;;;
28295;;Они;ОНИ;SPRO pl - - nom;;; щёлкает пальцами  _Они_ прошли вот эти;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28296;;прошли;ПРОЙТИ;V pf praet pl indic - -;;;щёлкает пальцами  Они _прошли_ вот эти свои;и;л;ш;о;р;п;V;ПРОЙТИ;V pf praet pl indic - -;И
28297;;вот;ВОТ;PART;;; Они прошли _вот_ эти свои полторы;т;о;в;;;;PART;ВОТ;PART;Т
28298;;эти;ЭТОТ;APRO - acc pl plen - -;;;Они прошли вот _эти_ свои полторы минуты;и;т;э;;;;APRO;ЭТОТ;A - nom pl plen - -;Т
28299;;свои;СВОЙ;APRO - acc pl plen - -;;;прошли вот эти _свои_ полторы минуты и;и;о;в;с;;;APRO;СВОЙ;A - nom pl plen - -;Й
28300;;полторы;ПОЛТОРА;NUM acc f -;;;вот эти свои _полторы_ минуты и ушли;ы;р;о;т;л;о;NUM;ПОЛТОРА;NUM acc f -;А
28301;;минуты;МИНУТА;S f inan gen sg;;;эти свои полторы _минуты_ и ушли ,;ы;т;у;н;и;м;S;МИНУТА;S f inan gen sg;А
28302;;и;И;CONJ;;;свои полторы минуты _и_ ушли , и;и;;;;;;CONJ;И;CONJ;И
28303;;ушли;УЙТИ;V pf praet pl indic - -;;;полторы минуты и _ушли_ , и наши;и;л;ш;у;;;V;УСЛАТЬ;V pf - sg imper - 2p;И
28304;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28305;;и;И;CONJ;;;и ушли , _и_ наши … ;и;;;;;;CONJ;И;CONJ;И
28306;;наши;НАШ;APRO - nom pl plen - anim;;;ушли , и _наши_ …  ;и;ш;а;н;;;APRO;НАШ;A - acc pl plen - inan;Ш
28307;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28308;;;;;;;;;;;;;;;;;
28309;# sent = 2073;;;;;;;;;;;;;;;;
28310;;Не;НЕ;PART;;;…   _Не_ , рассинхронно поклониться;е;н;;;;;PART;НЕ;PART;Е
28311;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28312;;рассинхронно;РАССИНХРОННО;ADV -;;; Не , _рассинхронно_ поклониться – это;о;н;н;о;р;х;ADV;РАССИНХРОННО;ADV -;О
28313;;поклониться;ПОКЛОНИТЬСЯ;V pf - - inf - -;;;Не , рассинхронно _поклониться_ – это надо;я;с;ь;т;и;н;V;ПОКЛОНИТЬСЯ;V pf - - inf - -;Я
28314;;–;–;PUNCT;;;;;;;;;;PUNCT;;;
28315;;это;ЭТО;SPRO n - nom sg;;;рассинхронно поклониться – _это_ надо уметь ,;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28316;;надо;НАДО;PRAEDIC;;;поклониться – это _надо_ уметь , я;о;д;а;н;;;PRAEDIC;НАДО;ADV -;О
28317;;уметь;УМЕТЬ;V ipf - - inf - -;;;– это надо _уметь_ , я понимаю;ь;т;е;м;у;;V;УМЕТЬ;V ipf - - inf - -;Ь
28318;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28319;;я;Я;SPRO sg 1p - nom;;;надо уметь , _я_ понимаю , ещё;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
28320;;понимаю;ПОНИМАТЬ;V ipf praes sg indic - 1p;;;уметь , я _понимаю_ , ещё под;ю;а;м;и;н;о;V;ПОНИМАТЬ;V ipf praes sg indic - 1p;Ь
28321;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28322;;ещё;ЕЩЕ;ADV -;;;я понимаю , _ещё_ под четкую команду;ё;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
28323;;под;ПОД;PR;;;понимаю , ещё _под_ четкую команду «;д;о;п;;;;PR;ПОД;PR;Д
28324;;четкую;ЧЕТКИЙ;A - acc sg plen f -;;;, ещё под _четкую_ команду « гоп;ю;у;к;т;е;ч;A;ЧЕТКИЙ;A - acc sg plen f -;Й
28325;;команду;КОМАНДА;S f inan acc sg;;;ещё под четкую _команду_ « гоп !;у;д;н;а;м;о;S;КОМАНДА;S f inan acc sg;А
28326;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
28327;;гоп;ГОП;INTJ;;;четкую команду « _гоп_ ! » ,;п;о;г;;;;INTJ;ГОП;INTJ;П
28328;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
28329;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
28330;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28331;;естественно;ЕСТЕСТВЕННО;PART;;;! » , _естественно_ .  ;о;н;н;е;в;т;PART;ЕСТЕСТВЕННО;PART;О
28332;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28333;;;;;;;;;;;;;;;;;
28334;# sent = 2074;;;;;;;;;;;;;;;;
28335;;И;И;CONJ;;;.   _И_ уйти . ;и;;;;;;CONJ;И;CONJ;И
28336;;уйти;УЙТИ;V pf - - inf - -;;;  И _уйти_ .  ;и;т;й;у;;;V;УЙТИ;V pf - - inf - -;И
28337;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28338;;;;;;;;;;;;;;;;;
28339;# sent = 2075;;;;;;;;;;;;;;;;
28340;;Все;ВСЕ;S - - nom pl;;;.   _Все_ … их ждали;е;с;в;;;;S;ВСЕ;S - - nom pl;Е
28341;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28342;;их;ОНИ;SPRO pl - - acc;;; Все … _их_ ждали … ну;х;и;;;;;SPRO;ОНИ;SPRO pl - - acc;И
28343;;ждали;ЖДАТЬ;V ipf praet pl indic - -;;;Все … их _ждали_ … ну это;и;л;а;д;ж;;V;ЖДАТЬ;V ipf praet pl indic - -;Ь
28344;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28345;;ну;НУ;PART;;;их ждали … _ну_ это свинство ,;у;н;;;;;PART;НУ;PART;У
28346;;это;ЭТО;SPRO n - nom sg;;;ждали … ну _это_ свинство , ;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28347;;свинство;СВИНСТВО;S n inan nom sg;;;… ну это _свинство_ ,  естессно;о;в;т;с;н;и;S;СВИНСТВО;S n inan nom sg;О
28348;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28349;"<distinct form=""";;;;;;;;;;;;;;;;
28350;<dist>;естессно;;;;;;;;;;;;;;;
28351;""">";;;;;;;;;;;;;;;;
28352;;естественно;ЕСТЕСТВЕННО;PART;;; естессно  _естественно_  . ;о;н;н;е;в;т;ADV;ЕСТЕСТВЕННО;ADV -;О
28353;</distinct>;;;;;;;;;;;;;;;;
28354;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28355;;;;;;;;;;;;;;;;;
28356;# sent = 2076;;;;;;;;;;;;;;;;
28357;;Вот;ВОТ;PART;;;.   _Вот_ .  ;т;о;в;;;;PART;ВОТ;PART;Т
28358;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28359;;;;;;;;;;;;;;;;;
28360;# sent = 2077;;;;;;;;;;;;;;;;
28361;;И;И;CONJ;;;.   _И_ потом , уже;и;;;;;;CONJ;И;CONJ;И
28362;;потом;ПОТОМ;ADV -;;;  И _потом_ , уже на;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
28363;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28364;;уже;УЖЕ;ADV -;;;И потом , _уже_ на следующий день;е;ж;у;;;;ADV;УЖЕ;ADV -;Е
28365;;на;НА;PR;;;потом , уже _на_ следующий день ,;а;н;;;;;PR;НА;PR;А
28366;;следующий;СЛЕДУЮЩИЙ;A - acc sg plen m inan;;;, уже на _следующий_ день , мы;й;и;щ;ю;у;д;A;СЛЕДУЮЩИЙ;A - acc sg plen m inan;Й
28367;;день;ДЕНЬ;S m inan acc sg;;;уже на следующий _день_ , мы тоже;ь;н;е;д;;;S;ДЕНЬ;S m inan acc sg;Ь
28368;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28369;;мы;МЫ;SPRO pl 1p - nom;;;следующий день , _мы_ тоже натыкаемся на;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
28370;;тоже;ТОЖЕ;PART;;;день , мы _тоже_ натыкаемся на толпу;е;ж;о;т;;;PART;ТОЖЕ;PART;Е
28371;;натыкаемся;НАТЫКАТЬСЯ;V ipf praes pl indic - 1p;;;, мы тоже _натыкаемся_ на толпу ,;я;с;м;е;а;к;V;НАТЫКАТЬСЯ;V ipf praes pl indic - 1p;Я
28372;;на;НА;PR;;;мы тоже натыкаемся _на_ толпу , думаем;а;н;;;;;PR;НА;PR;А
28373;;толпу;ТОЛПА;S f inan acc sg;;;тоже натыкаемся на _толпу_ , думаем что;у;п;л;о;т;;S;ТОЛПА;S f inan acc sg;А
28374;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28375;;думаем;ДУМАТЬ;V ipf praes pl indic - 1p;;;на толпу , _думаем_ что опять они;м;е;а;м;у;д;V;ДУМАТЬ;V ipf praes pl indic - 1p;Ь
28376;;что;ЧТО;CONJ;;;толпу , думаем _что_ опять они .;о;т;ч;;;;CONJ;ЧТО;CONJ;О
28377;;опять;ОПЯТЬ;ADV -;;;, думаем что _опять_ они . ;ь;т;я;п;о;;ADV;ОПЯТЬ;ADV -;Ь
28378;;они;ОНИ;SPRO pl - - nom;;;думаем что опять _они_ .  ;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28379;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28380;;;;;;;;;;;;;;;;;
28381;# sent = 2078;;;;;;;;;;;;;;;;
28382;;Аа;АА;INTJ;;;.   _Аа_ …  ;а;а;;;;;INTJ;АА;NONLEX;А
28383;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28384;;;;;;;;;;;;;;;;;
28385;# sent = 2079;;;;;;;;;;;;;;;;
28386;;Мотивы;МОТИВ;S m inan nom pl;;;…   _Мотивы_ какие-то были ,;ы;в;и;т;о;м;S;МОТИВ;S m inan nom pl;В
28387;;какие-то;КАКОЙ-ТО;APRO - nom pl plen - -;;;  Мотивы _какие-то_ были , моя;о;т;-;е;и;к;APRO;КАКОЙ-ТО;A - nom pl plen - -;О
28388;;были;БЫТЬ;V ipf praet pl indic - -;;; Мотивы какие-то _были_ , моя тётка;и;л;ы;б;;;V;БЫТЬ;V ipf praet pl indic - -;Ь
28389;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28390;;моя;МОЙ;APRO - nom sg plen f -;;;какие-то были , _моя_ тётка такая :;я;о;м;;;;APRO;МОЙ;A - nom sg plen f -;Й
28391;;тётка;ТЕТКА;S f anim nom sg;;;были , моя _тётка_ такая : «;а;к;т;ё;т;;S;ТЕТКА;S f anim nom sg;А
28392;;такая;ТАКОЙ;APRO - nom sg plen f -;;;, моя тётка _такая_ : « ;я;а;к;а;т;;APRO;ТАКОЙ;A - nom sg plen f -;Й
28393;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
28394;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
28395;"<distinct form=""";;;;;;;;;;;;;;;;
28396;<dist>;Чё-то;;;;;;;;;;;;;;;
28397;""">";;;;;;;;;;;;;;;;
28398;;Что-то;ЧТО-ТО;SPRO n inan nom sg;;; Чё-то  _Что-то_  , ;о;т;-;о;т;ч;SPRO;ЧТО-ТО;S n - acc sg;О
28399;</distinct>;;;;;;;;;;;;;;;;
28400;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28401;"<distinct form=""";;;;;;;;;;;;;;;;
28402;<dist>;чё-то;;;;;;;;;;;;;;;
28403;""">";;;;;;;;;;;;;;;;
28404;;что-то;ЧТО-ТО;SPRO n inan nom sg;;; чё-то  _что-то_  еврейское ,;о;т;-;о;т;ч;SPRO;ЧТО-ТО;S n - acc sg;О
28405;</distinct>;;;;;;;;;;;;;;;;
28406;;еврейское;ЕВРЕЙСКИЙ;A - nom sg plen n -;;; что-то  _еврейское_ , видимо ,;е;о;к;с;й;е;A;ЕВРЕЙСКИЙ;A - nom sg plen n -;Й
28407;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28408;;видимо;ВИДИМО;ADV -;;; еврейское , _видимо_ , какой-то еврейский;о;м;и;д;и;в;ADV;ВИДИМО;ADV -;О
28409;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28410;;какой-то;КАКОЙ-ТО;APRO - nom sg plen m -;;;, видимо , _какой-то_ еврейский праздник »;о;т;-;й;о;к;APRO;КАКОЙ-ТО;A - nom sg plen m -;О
28411;;еврейский;ЕВРЕЙСКИЙ;A - nom sg plen m -;;;видимо , какой-то _еврейский_ праздник » .;й;и;к;с;й;е;A;ЕВРЕЙСКИЙ;A - nom sg plen m -;Й
28412;;праздник;ПРАЗДНИК;S m inan nom sg;;;, какой-то еврейский _праздник_ » . ;к;и;н;д;з;а;S;ПРАЗДНИК;S m inan nom sg;К
28413;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
28414;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28415;;;;;;;;;;;;;;;;;
28416;# sent = 2080;;;;;;;;;;;;;;;;
28417;;Тут;ТУТ;PART;;;.   _Тут_ проходит тётка ,;т;у;т;;;;ADV;ТУТ;ADV -;Т
28418;;проходит;ПРОХОДИТЬ;V ipf praes sg indic - 3p;;;  Тут _проходит_ тётка , а;т;и;д;о;х;о;V;ПРОХОДИТЬ;V ipf praes sg indic - 3p;Ь
28419;;тётка;ТЕТКА;S f anim nom sg;;; Тут проходит _тётка_ , а там;а;к;т;ё;т;;S;ТЕТКА;S f anim nom sg;А
28420;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28421;;а;А;CONJ;;;проходит тётка , _а_ там такие стопырчики;а;;;;;;CONJ;А;CONJ;А
28422;;там;ТАМ;ADVPRO;;;тётка , а _там_ такие стопырчики с;м;а;т;;;;ADV;ТАМ;ADV -;М
28423;;такие;ТАКОЙ;APRO - nom pl plen - -;;;, а там _такие_ стопырчики с раки;е;и;к;а;т;;APRO;ТАКОЙ;A - nom pl plen - -;Й
28424;;стопырчики;СТОПЫРЧИК;S m inan nom pl;;;а там такие _стопырчики_ с раки –;и;к;и;ч;р;ы;S;СТОПЫРЧИК;S m inan acc pl;К
28425;;с;С;PR;;;там такие стопырчики _с_ раки – ну;с;;;;;;PR;С;PR;С
28426;;раки;РАКИ;S m inan ins sg;;;такие стопырчики с _раки_ – ну ,;и;к;а;р;;;S;РАК;S m anim nom pl;И
28427;;–;–;PUNCT;;;;;;;;;;PUNCT;;;
28428;;ну;НУ;PART;;;с раки – _ну_ , это самогонка;у;н;;;;;PART;НУ;PART;У
28429;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28430;;это;ЭТО;SPRO n - nom sg;;;– ну , _это_ самогонка , я;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28431;;самогонка;САМОГОНКА;S f inan nom sg;anom;;ну , это _самогонка_ , я уже;а;к;н;о;г;о;S;САМОГОНКА;S f inan nom sg;А
28432;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28433;;я;Я;SPRO sg 1p - nom;;;это самогонка , _я_ уже сказал –;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
28434;;уже;УЖЕ;ADV -;;;самогонка , я _уже_ сказал – халявно;е;ж;у;;;;ADV;УЖЕ;ADV -;Е
28435;;сказал;СКАЗАТЬ;V pf praet sg indic m -;;;, я уже _сказал_ – халявно .;л;а;з;а;к;с;V;СКАЗАТЬ;V pf praet sg indic m -;Ь
28436;;–;–;PUNCT;;;;;;;;;;PUNCT;;;
28437;;халявно;ХАЛЯВНО;ADV -;;;уже сказал – _халявно_ .  ;о;н;в;я;л;а;ADV;ХАЛЯВНО;ADV -;О
28438;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28439;;;;;;;;;;;;;;;;;
28440;# sent = 2081;;;;;;;;;;;;;;;;
28441;;Я;Я;SPRO sg 1p - nom;;;.   _Я_ такой : «;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
28442;;такой;ТАКОЙ;APRO - nom sg plen m -;;;  Я _такой_ : « не;й;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen m -;Й
28443;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
28444;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
28445;;не;НЕ;PART;;;такой : « _не_ , пардон ,;е;н;;;;;PART;НЕ;PART;Е
28446;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28447;;пардон;ПАРДОН;INTJ;;;« не , _пардон_ , халявное бухло;н;о;д;р;а;п;S;ПАРДОН;S m inan acc sg;Н
28448;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28449;;халявное;ХАЛЯВНЫЙ;A - nom sg plen n -;;;, пардон , _халявное_ бухло – это;е;о;н;в;я;л;A;ХАЛЯВНЫЙ;A - acc sg plen n -;Й
28450;;бухло;БУХЛО;S n inan nom sg;;;пардон , халявное _бухло_ – это не;о;л;х;у;б;;S;БУХЛО;S m inan nom sg;О
28451;;–;–;PUNCT;;;;;;;;;;PUNCT;;;
28452;;это;ЭТО;SPRO n - nom sg;;;халявное бухло – _это_ не … не;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28453;;не;НЕ;PART;;;бухло – это _не_ … не признак;е;н;;;;;PART;НЕ;PART;Е
28454;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28455;;не;НЕ;PART;;;это не … _не_ признак еврейских праздников;е;н;;;;;PART;НЕ;PART;Е
28456;;признак;ПРИЗНАК;S m inan nom sg;;;не … не _признак_ еврейских праздников »;к;а;н;з;и;р;S;ПРИЗНАК;S m inan nom sg;К
28457;;еврейских;ЕВРЕЙСКИЙ;A - gen pl plen - -;;;… не признак _еврейских_ праздников » .;х;и;к;с;й;е;A;ЕВРЕЙСКИЙ;A - gen pl plen - -;Й
28458;;праздников;ПРАЗДНИК;S m inan gen pl;;;не признак еврейских _праздников_ » . ;в;о;к;и;н;д;S;ПРАЗДНИК;S m inan gen pl;К
28459;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
28460;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28461;;;;;;;;;;;;;;;;;
28462;# sent = 2082;;;;;;;;;;;;;;;;
28463;# speaker = Суф;;;;;;;;;;;;;;;;
28464;# sent = 2083;;;;;;;;;;;;;;;;
28465;;Вот;ВОТ;PART;;;   _Вот_ …  ;т;о;в;;;;PART;ВОТ;PART;Т
28466;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28467;;;;;;;;;;;;;;;;;
28468;# sent = 2084;;;;;;;;;;;;;;;;
28469;;Там;ТАМ;ADVPRO;;;…   _Там_ ещё козинаки вкусные;м;а;т;;;;ADV;ТАМ;ADV -;М
28470;;ещё;ЕЩЕ;ADV -;;;  Там _ещё_ козинаки вкусные пораздавали;ё;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
28471;;козинаки;КОЗИНАК;S m inan acc pl;;; Там ещё _козинаки_ вкусные пораздавали ,;и;к;а;н;и;з;S;КОЗИНАК;S m inan acc pl;К
28472;;вкусные;ВКУСНЫЙ;A - acc pl plen - -;;;Там ещё козинаки _вкусные_ пораздавали , вот;е;ы;н;с;у;к;A;ВКУСНЫЙ;A - nom pl plen - -;Й
